"Scenario","Species","Group","Item","Mean","StDev","Lower95","Upper95"
"Current","Goats","Overall","Feed Cost",30150629803.0444,2618066786.4518,25145371414.2626,35402481847.7238
"Current","Goats","Overall","Gross Margin",5216758437.87364,12638922343.1498,-19232752279.6847,30187446508.9209
"Current","Goats","Overall","Health Cost",5449984345.82339,537580806.982963,4471551137.70914,6564916190.81873
"Current","Goats","Overall","Labour Cost",9153383144.66405,619443108.974462,7946105744.14914,10361666476.8023
"Current","Goats","Overall","Population",3783796.23798924,63156.2409036917,3658622.58005842,3905618.8274283
"Current","Goats","Overall","Value of Herd Increase",18282600136.1608,7944486079.2838,3075910745.11074,33970073081.363
"Current","Goats","Overall","Value of Manure",2026971889.69995,60464831.3180882,1919504936.13012,2136216916.26669
"Current","Goats","Overall","Value of Milk",336588862.566638,153601918.577633,108774932.839591,704253712.565554
"Current","Goats","Overall","Value of Offtake",29324594842.9781,5911015593.42976,18019618009.9088,41246267979.0038
"Current","Goats","Subadult","Feed Cost",5887317134.768,606450516.338286,4783188672.9207,7120383194.59158
"Current","Goats","Subadult","Gross Margin",-10580535190.5703,1765382070.21841,-13991830201.4275,-7081875934.26354
"Current","Goats","Subadult","Health Cost",727867102.862735,82350168.6976683,576011062.501938,894491382.918548
"Current","Goats","Subadult","Labour Cost",1220893643.19903,92925391.3918237,1041471622.86022,1399184141.81027
"Current","Goats","Subadult","Population",653342.806957585,19056.3672843379,614085.879502739,688225.127473904
"Current","Goats","Subadult","Value of Herd Increase",-10292958135.0169,2653720794.73357,-15660152048.7863,-5053958380.56836
"Current","Goats","Subadult","Value of Manure",361929327.310197,12867507.0974238,337360091.356434,387065113.7199
"Current","Goats","Subadult","Value of Offtake",7186571497.96623,2316224807.06076,2967531590.13386,12043211172.3244
"Current","Goats","Subadult Female","Feed Cost",2868675614.28242,408388479.065282,2112243967.03169,3688824354.74062
"Current","Goats","Subadult Female","Gross Margin",-7880328211.78549,1434333449.82008,-10712330991.1009,-5084149948.03483
"Current","Goats","Subadult Female","Health Cost",431077891.138669,67945678.7178986,309313000.492041,572729216.190384
"Current","Goats","Subadult Female","Labour Cost",724050709.665472,74551750.6129749,579240416.32944,866688079.44878
"Current","Goats","Subadult Female","Population",378076.046053747,7488.76033119222,363618.276356729,392889.817383885
"Current","Goats","Subadult Female","Value of Herd Increase",-5996499210.81186,2021181524.66475,-9950069273.4001,-1997267495.36162
"Current","Goats","Subadult Female","Value of Manure",214526317.351752,9790895.56474553,198236043.600293,231240557.579497
"Current","Goats","Subadult Female","Value of Offtake",1925448896.76117,646036586.127186,643387869.935768,3188971156.65627
"Current","Goats","Subadult Male","Feed Cost",3018641520.48559,441986166.518796,2198143749.62353,3915010041.69451
"Current","Goats","Subadult Male","Gross Margin",-2700206978.78476,983273407.94764,-4375640265.45211,-514706813.211566
"Current","Goats","Subadult Male","Health Cost",296789211.724067,47483689.7078418,212667666.647322,397449261.74536
"Current","Goats","Subadult Male","Labour Cost",496842933.533559,54667546.6474018,389947249.68378,604524796.016267
"Current","Goats","Subadult Male","Population",275266.760903838,15266.6245345164,242747.001922399,302733.486175669
"Current","Goats","Subadult Male","Value of Herd Increase",-4296458924.20505,1717366565.73701,-7711283999.31901,-1042128930.11429
"Current","Goats","Subadult Male","Value of Manure",147403009.958444,8425115.41530318,131943402.115099,163543573.977806
"Current","Goats","Subadult Male","Value of Offtake",5261122601.20506,2232974063.36318,1273179131.18324,9972345478.885
