"Value","n","Type","Scenario","Species","Parameter"
0.0622429867327285,64,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0623810313924568,50,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0625190760521851,44,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0626571207119135,58,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0627951653716418,60,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0629332100313701,48,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0630712546910984,66,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0632092993508268,52,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0633473440105551,49,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0634853886702834,58,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0636234333300118,54,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0637614779897401,58,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0638995226494684,53,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0640375673091968,64,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0641756119689251,53,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0643136566286534,44,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0644517012883818,53,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0645897459481101,43,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0647277906078384,42,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0648658352675668,45,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0650038799272951,52,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0651419245870234,71,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0652799692467518,55,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0654180139064801,53,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0655560585662084,55,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0656941032259367,53,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0658321478856651,45,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0659701925453934,46,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0661082372051217,56,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0662462818648501,38,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0663843265245784,41,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0665223711843067,41,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0666604158440351,44,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0667984605037634,38,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0669365051634917,59,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0670745498232201,44,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0672125944829484,39,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0673506391426767,49,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0674886838024051,34,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0676267284621334,53,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0677647731218617,39,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0679028177815901,39,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0680408624413184,45,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0681789071010467,44,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0683169517607751,42,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0684549964205034,42,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0685930410802317,26,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0687310857399601,31,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0688691303996884,43,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0690071750594167,55,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0691452197191451,41,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0692832643788734,39,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0694213090386017,30,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0695593536983301,38,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0696973983580584,34,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0698354430177867,34,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.069973487677515,41,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0701115323372434,29,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0702495769969717,42,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0703876216567,31,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0705256663164284,30,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0706637109761567,28,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.070801755635885,37,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0709398002956134,22,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0710778449553417,38,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.07121588961507,22,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0713539342747984,29,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0714919789345267,22,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.071630023594255,20,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0717680682539834,23,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0719061129137117,32,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.07204415757344,23,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0721822022331683,17,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0723202468928967,23,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.072458291552625,21,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0725963362123533,32,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0727343808720817,23,"Distribution","PPR","Sheep","annual_inc_SA_J"
